AQI,PM2.5,PM10,NO2,SO2,CO,O3,City_Label
119.0,65.45,128.52,98.77,135.66,1.25,113.05,3
117.0,64.35,126.36,97.11,133.38,1.23,111.15,3
156.0,85.8,168.48,129.48,177.84,1.64,148.2,3
169.0,92.95,182.52,140.27,192.66,1.77,160.55,3
148.0,81.4,159.84,122.84,168.72,1.55,140.6,3
146.0,80.3,157.68,121.18,166.44,1.53,138.7,3
139.0,76.45,150.12,115.37,158.46,1.46,132.05,3
142.0,78.1,153.36,117.86,161.88,1.49,134.9,3
153.0,84.15,165.24,126.99,174.42,1.61,145.35,3
155.0,85.25,167.4,128.65,176.7,1.63,147.25,3
152.0,83.6,164.16,126.16,173.28,1.6,144.4,3
151.0,83.05,163.08,125.33,172.14,1.59,143.45,3
148.0,81.4,159.84,122.84,168.72,1.55,140.6,3
137.0,75.35,147.96,113.71,156.18,1.44,130.15,3
143.0,78.65,154.44,118.69,163.02,1.5,135.85,3
135.0,74.25,145.8,112.05,153.9,1.42,128.25,3
124.0,68.2,133.92,102.92,141.36,1.3,117.8,3
130.0,71.5,140.4,107.9,148.2,1.37,123.5,3
128.0,70.4,138.24,106.24,145.92,1.34,121.6,3
134.0,73.7,144.72,111.22,152.76,1.41,127.3,3
135.0,74.25,145.8,112.05,153.9,1.42,128.25,3
151.0,83.05,163.08,125.33,172.14,1.59,143.45,3
120.0,66.0,129.6,99.6,136.8,1.26,114.0,3
123.0,67.65,132.84,102.09,140.22,1.29,116.85,3
143.0,78.65,154.44,118.69,163.02,1.5,135.85,3
148.0,81.4,159.84,122.84,168.72,1.55,140.6,3
148.0,81.4,159.84,122.84,168.72,1.55,140.6,3
137.0,75.35,147.96,113.71,156.18,1.44,130.15,3
141.0,77.55,152.28,117.03,160.74,1.48,133.95,3
143.0,78.65,154.44,118.69,163.02,1.5,135.85,3
126.0,69.3,136.08,104.58,143.64,1.32,119.7,3
117.0,64.35,126.36,97.11,133.38,1.23,111.15,3
115.0,63.25,124.2,95.45,131.1,1.21,109.25,3
107.0,58.85,115.56,88.81,121.98,1.12,101.65,3
103.0,56.65,111.24,85.49,117.42,1.08,97.85,3
122.0,67.1,131.76,101.26,139.08,1.28,115.9,3
116.0,63.8,125.28,96.28,132.24,1.22,110.2,3
138.0,75.9,149.04,114.54,157.32,1.45,131.1,3
104.0,57.2,112.32,86.32,118.56,1.09,98.8,3
